,Source,Place,Rating,Jumlah review,Type,Address,description,Komentar,Kota
0,https://www.google.com/maps/place/'@Jktgoodguide'/data=!4m6!3m5!1s0x2e69f69f36650711:0x1cad68a211eec1f6!8m2!3d-6.1958356!4d106.812364!16s%2Fg%2F11h0vtkrz8?authuser=0&hl=id&rclk=1,@Jktgoodguide,None,None,Tujuan Wisata,"Jl. Kb. Pala I No.295, RT.5/RW.16",Museum terkenal dengan pameran memorial,None,Jakarta
1,https://www.google.com/maps/place/Wisata+Seribu+PolisiTidur/data=!4m6!3m5!1s0x2e69ed82963132b5:0xaa84cb3b886dc26b!8m2!3d-6.3087903!4d106.8592671!16s%2Fg%2F11n1txcxdf?authuser=0&hl=id&rclk=1,Wisata Seribu PolisiTidur,"4,2",(6),Tujuan Wisata,"Mahoni No.93, RT.4/RW.4",Pameran budaya bahari di Indonesia,"""Anjay udah jadi wisata aja""",Jakarta
2,https://www.google.com/maps/place/Tempat+Santai+Pinggir+Kali+Gusuran/data=!4m6!3m5!1s0x2e69f1301b753edb:0x1f2e769d6177515d!8m2!3d-6.2507923!4d106.7675725!16s%2Fg%2F11rkccnnc4?authuser=0&hl=id&rclk=1,Tempat Santai Pinggir Kali Gusuran,None,None,Tujuan Wisata,"PQX9+M2P, Jl. Inspeksi",Masjid bernuansa damai berdesain Belanda,None,Jakarta
3,https://www.google.com/maps/place/Kaai%E2%80%99s+house/data=!4m6!3m5!1s0x2e69f537a85f5faf:0xa828b22e7fd4194a!8m2!3d-6.133996!4d106.9098322!16s%2Fg%2F11pkcd46vx?authuser=0&hl=id&rclk=1,Kaai’s house,None,None,Tujuan Wisata,"Gg. H. Ali No.18, RW.5",None,None,Jakarta
4,https://www.google.com/maps/place/FEBRI+%26+IFAN/data=!4m6!3m5!1s0x2e69f56d56f94a23:0x1fbae01bb768292e!8m2!3d-6.1796899!4d106.8571559!16s%2Fg%2F11p621w6b5?authuser=0&hl=id&rclk=1,FEBRI & IFAN,None,None,Tujuan Wisata,"RVC4+4VC, Jl. Rw. Sel. 2, RT.9/RW.7",Monumen peringatan peristiwa bersejarah,None,Jakarta
5,https://www.google.com/maps/place/Tempat+mancing/data=!4m6!3m5!1s0x2e6a1f135f06a8b3:0x289b08a4f7fa9369!8m2!3d-6.1110686!4d106.8645203!16s%2Fg%2F11rnk3rms7?authuser=0&hl=id&rclk=1,Tempat mancing,"5,0",(1),Tujuan Wisata,VVQ7+GXX,None,None,Jakarta
6,https://www.google.com/maps/place/Mural+Art+%26+Small+Housing/data=!4m6!3m5!1s0x2e69f5ecf553049f:0xb37b94be2c3bf8cb!8m2!3d-6.1617407!4d106.835286!16s%2Fg%2F11hz3clttq?authuser=0&hl=id&rclk=1,Mural Art & Small Housing,"3,0",(1),Tujuan Wisata,"Jl. Sentul No.35, RT.8/RW.3",None,None,Jakarta
7,https://www.google.com/maps/place/Painting+Street/data=!4m6!3m5!1s0x2e69f1e12f082fa5:0xb98d0377cce4a91c!8m2!3d-6.28965!4d106.7945726!16s%2Fg%2F11qzcq9rn0?authuser=0&hl=id&rclk=1,Painting Street,"4,0",(1),Tujuan Wisata,"7, Jl. Keuangan Raya No.1, RT.7/RW.5",None,None,Jakarta
8,https://www.google.com/maps/place/Arts+-+Crafts+Ancol/data=!4m6!3m5!1s0x2e6a1e16d11e3bcd:0xcfdab3366ce52216!8m2!3d-6.1220603!4d106.8360863!16s%2Fg%2F1tgdwrm6?authuser=0&hl=id&rclk=1,Arts - Crafts Ancol,"4,0",(7),Tujuan Wisata,"VRHP+5CG, Jl. Pantai Indah Taman Impian Jaya Ancol Ancol Pademangan Jakarta Utara DKI Jakarta, RW.10",None,None,Jakarta
9,https://www.google.com/maps/place/Balimester+Riverside/data=!4m6!3m5!1s0x2e69f5ce70af09fb:0x527bde60791e38e6!8m2!3d-6.2125414!4d106.8636848!16s%2Fg%2F11ns3_ns5_?authuser=0&hl=id&rclk=1,Balimester Riverside,"5,0",(1),Tujuan Wisata,"QVP7+XFM, RT.10/RW.6",None,None,Jakarta
